date,year,month,day,confirmed,prev_day_confirmed,daily_diff_in_confirmed,deaths,prev_day_deaths,daily_diff_in_deaths,recovered,prev_day_recovered,daily_diff_in_recovered,active
2021-06-26,2021,6,26,62513,62493,20,35,35,0,62161,62140,21,317
2021-06-27,2021,6,27,62530,62513,17,36,35,1,62181,62161,20,313
2021-06-28,2021,6,28,62544,62530,14,36,36,0,62195,62181,14,313
2021-06-29,2021,6,29,62553,62544,9,36,36,0,62212,62195,17,305
2021-06-30,2021,6,30,62907,62553,354,36,36,0,62563,62212,351,308
2021-07-01,2021,7,1,62579,62907,-328,36,36,0,62228,62563,-335,315
2021-07-02,2021,7,2,62589,62579,10,36,36,0,62234,62228,6,319
2021-07-03,2021,7,3,62599,62589,10,36,36,0,62250,62234,16,313
2021-07-04,2021,7,4,62606,62599,7,36,36,0,62265,62250,15,305
2021-07-05,2021,7,5,62617,62606,11,36,36,0,62286,62265,21,295
2021-07-06,2021,7,6,62630,62617,13,36,36,0,62299,62286,13,295
2021-07-07,2021,7,7,62640,62630,10,36,36,0,62313,62299,14,291
2021-07-08,2021,7,8,62652,62640,12,36,36,0,62341,62313,28,275
2021-07-09,2021,7,9,62668,62652,16,36,36,0,62363,62341,22,269
2021-07-10,2021,7,10,62678,62668,10,36,36,0,62374,62363,11,268
2021-07-11,2021,7,11,62684,62678,6,36,36,0,62397,62374,23,251
2021-07-12,2021,7,12,62692,62684,8,36,36,0,62414,62397,17,242
2021-07-13,2021,7,13,62718,62692,26,36,36,0,62432,62414,18,250
2021-07-14,2021,7,14,62744,62718,26,36,36,0,62453,62432,21,255
2021-07-15,2021,7,15,62804,62744,60,36,36,0,62467,62453,14,301
2021-07-16,2021,7,16,62852,62804,48,36,36,0,62481,62467,14,335
2021-07-17,2021,7,17,62913,62852,61,36,36,0,62498,62481,17,379
2021-07-18,2021,7,18,63073,62913,160,36,36,0,62526,62498,28,511
2021-07-19,2021,7,19,63073,63073,0,36,36,0,62526,62526,0,511
2021-07-20,2021,7,20,63245,63073,172,36,36,0,62532,62526,6,677
2021-07-21,2021,7,21,63440,63245,195,36,36,0,62543,62532,11,861
2021-07-22,2021,7,22,63621,63440,181,36,36,0,62560,62543,17,1025
2021-07-23,2021,7,23,63791,63621,170,36,36,0,62576,62560,16,1179
2021-07-24,2021,7,24,63924,63791,133,36,36,0,62587,62576,11,1301
2021-07-25,2021,7,25,64054,63924,130,37,36,1,62595,62587,8,1422
2021-07-26,2021,7,26,64179,64054,125,37,37,0,62605,62595,10,1537
2021-07-27,2021,7,27,64314,64179,135,37,37,0,62617,62605,12,1660
2021-07-28,2021,7,28,64453,64314,139,37,37,0,62637,62617,20,1779
2021-07-29,2021,7,29,64589,64453,136,37,37,0,62663,62637,26,1889
2021-07-30,2021,7,30,64722,64589,133,37,37,0,62679,62663,16,2006
2021-07-31,2021,7,31,64861,64722,139,37,37,0,62733,62679,54,2091
2021-08-01,2021,8,1,64981,64861,120,37,37,0,62863,62733,130,2081
2021-08-02,2021,8,2,65102,64981,121,37,37,0,62957,62863,94,2108
2021-08-03,2021,8,3,65213,65102,111,38,37,1,63033,62957,76,2142
2021-08-04,2021,8,4,65315,65213,102,38,38,0,63252,63033,219,2025
2021-08-05,2021,8,5,65410,65315,95,39,38,1,63357,63252,105,2014
2021-08-06,2021,8,6,65508,65410,98,40,39,1,63457,63357,100,2011
2021-08-07,2021,8,7,65605,65508,97,41,40,1,0,63457,-63457,65564
2021-08-08,2021,8,8,65686,65605,81,42,41,1,0,0,0,65644
2021-08-09,2021,8,9,65764,65686,78,42,42,0,0,0,0,65722
2021-08-10,2021,8,10,65764,65764,0,42,42,0,0,0,0,65722
2021-08-11,2021,8,11,65836,65764,72,42,42,0,0,0,0,65794
2021-08-12,2021,8,12,65953,65836,117,43,42,1,0,0,0,65910
2021-08-13,2021,8,13,66012,65953,59,43,43,0,0,0,0,65969
2021-08-14,2021,8,14,66061,66012,49,44,43,1,0,0,0,66017
2021-08-15,2021,8,15,66119,66061,58,44,44,0,0,0,0,66075
2021-08-16,2021,8,16,66172,66119,53,44,44,0,0,0,0,66128
2021-08-17,2021,8,17,66225,66172,53,44,44,0,0,0,0,66181
2021-08-18,2021,8,18,66281,66225,56,45,44,1,0,0,0,66236
2021-08-19,2021,8,19,66334,66281,53,46,45,1,0,0,0,66288
2021-08-20,2021,8,20,66366,66334,32,46,46,0,0,0,0,66320
2021-08-21,2021,8,21,66406,66366,40,47,46,1,0,0,0,66359
2021-08-22,2021,8,22,66443,66406,37,47,47,0,0,0,0,66396
2021-08-23,2021,8,23,66478,66443,35,49,47,2,0,0,0,66429
2021-08-24,2021,8,24,66576,66478,98,50,49,1,0,0,0,66526
2021-08-25,2021,8,25,66692,66576,116,50,50,0,0,0,0,66642
2021-08-26,2021,8,26,66812,66692,120,52,50,2,0,0,0,66760
2021-08-27,2021,8,27,66928,66812,116,52,52,0,0,0,0,66876
2021-08-28,2021,8,28,66928,66928,0,52,52,0,0,0,0,66876
2021-08-29,2021,8,29,67171,66928,243,55,52,3,0,0,0,67116
2021-08-30,2021,8,30,67171,67171,0,55,55,0,0,0,0,67116
2021-08-31,2021,8,31,67459,67171,288,55,55,0,0,0,0,67404
2021-09-01,2021,9,1,67620,67459,161,55,55,0,0,0,0,67565
2021-09-02,2021,9,2,67800,67620,180,55,55,0,0,0,0,67745
2021-09-03,2021,9,3,67991,67800,191,55,55,0,0,0,0,67936
2021-09-04,2021,9,4,68210,67991,219,55,55,0,0,0,0,68155
2021-09-05,2021,9,5,68469,68210,259,55,55,0,0,0,0,68414
2021-09-06,2021,9,6,68660,68469,191,55,55,0,0,0,0,68605
2021-09-07,2021,9,7,68901,68660,241,55,55,0,0,0,0,68846
2021-09-08,2021,9,8,69233,68901,332,55,55,0,0,0,0,69178
2021-09-09,2021,9,9,69582,69233,349,56,55,1,0,0,0,69526
2021-09-10,2021,9,10,70039,69582,457,57,56,1,0,0,0,69982
2021-09-11,2021,9,11,70612,70039,573,58,57,1,0,0,0,70554
2021-09-12,2021,9,12,71167,70612,555,58,58,0,0,0,0,71109
2021-09-13,2021,9,13,71687,71167,520,58,58,0,0,0,0,71629
2021-09-14,2021,9,14,72294,71687,607,58,58,0,0,0,0,72236
2021-09-15,2021,9,15,73131,72294,837,58,58,0,0,0,0,73073
2021-09-16,2021,9,16,73938,73131,807,58,58,0,0,0,0,73880
2021-09-17,2021,9,17,74848,73938,910,59,58,1,0,0,0,74789
2021-09-18,2021,9,18,75783,74848,935,59,59,0,0,0,0,75724
2021-09-19,2021,9,19,76792,75783,1009,60,59,1,0,0,0,76732
2021-09-20,2021,9,20,77804,76792,1012,60,60,0,0,0,0,77744
2021-09-21,2021,9,21,77804,77804,0,60,60,0,0,0,0,77744
2021-09-22,2021,9,22,79899,77804,2095,65,60,5,0,0,0,79834
2021-09-24,2021,9,24,82860,79899,2961,70,65,5,0,0,0,82790
2021-09-25,2021,9,25,84510,82860,1650,73,70,3,0,0,0,84437
2021-09-26,2021,9,26,85953,84510,1443,76,73,3,0,0,0,85877
2021-09-27,2021,9,27,87892,85953,1939,78,76,2,0,0,0,87814
2021-09-28,2021,9,28,89539,87892,1647,80,78,2,0,0,0,89459
2021-09-29,2021,9,29,91775,89539,2236,85,80,5,0,0,0,91690
2021-09-30,2021,9,30,94043,91775,2268,93,85,8,0,0,0,93950
2021-10-01,2021,10,1,96521,94043,2478,95,93,2,0,0,0,96426
2021-10-02,2021,10,2,99430,96521,2909,103,95,8,0,0,0,99327
2021-10-03,2021,10,3,101786,99430,2356,107,103,4,0,0,0,101679
2021-10-04,2021,10,4,103843,101786,2057,113,107,6,0,0,0,103730
2021-10-05,2021,10,5,106318,103843,2475,121,113,8,0,0,0,106197
2021-10-06,2021,10,6,109804,106318,3486,130,121,9,0,0,0,109674
2021-10-07,2021,10,7,113381,109804,3577,133,130,3,0,0,0,113248
2021-10-08,2021,10,8,116864,113381,3483,136,133,3,0,0,0,116728
2021-10-09,2021,10,9,120454,116864,3590,142,136,6,0,0,0,120312
2021-10-10,2021,10,10,124157,120454,3703,153,142,11,0,0,0,124004
2021-10-11,2021,10,11,126966,124157,2809,162,153,9,0,0,0,126804
2021-10-12,2021,10,12,126966,126966,0,162,162,0,0,0,0,126804
2021-10-13,2021,10,13,132205,126966,5239,183,162,21,0,0,0,132022
2021-10-14,2021,10,14,135395,132205,3190,192,183,9,0,0,0,135203
2021-10-15,2021,10,15,138327,135395,2932,207,192,15,0,0,0,138120
2021-10-16,2021,10,16,141772,138327,3445,215,207,8,0,0,0,141557
2021-10-17,2021,10,17,145120,141772,3348,224,215,9,0,0,0,144896
2021-10-18,2021,10,18,148178,145120,3058,233,224,9,0,0,0,147945
2021-10-19,2021,10,19,150731,148178,2553,239,233,6,0,0,0,150492
2021-10-20,2021,10,20,154725,150731,3994,246,239,7,0,0,0,154479
2021-10-21,2021,10,21,158587,154725,3862,264,246,18,0,0,0,158323
2021-10-22,2021,10,22,162026,158587,3439,280,264,16,0,0,0,161746
